Position in alignment, Recombination breakpoint number (200nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI,Bottom
3859,4.066456,6.655737,2.93E-02,5.883305,0.1653063,0.02927427
3861,4.044575,6.637965,0.033582,5.876485,0.1667864,0.033582
3863,4.01533,6.725915,0.0375298,5.869724,0.1698649,0.0375298
3865,3.996965,6.899144,4.15E-02,5.865533,0.1698457,0.04147809
3867,3.973066,6.914189,6.31E-02,5.83498,0.167918,0.06314854
3869,3.943926,6.901317,5.77E-02,5.780897,0.1663289,0.05771365
3871,3.919216,6.865533,5.11E-02,5.791157,0.1767944,0.05108604
3873,3.898779,6.823933,4.53E-02,5.784665,0.1807653,0.04533041
3875,3.87571,6.780183,4.15E-02,5.732126,0.1588919,0.04146109
3877,3.820639,6.724551,0.0376366,5.572585,0.1552332,0.0376366
3879,3.801631,6.669849,0.0347269,5.537211,0.1564855,0.0347269
3881,3.787266,6.615175,3.37E-02,5.531672,0.1580505,0.03370202
3883,3.777494,6.560238,3.27E-02,5.526134,0.1567621,0.03267714
3885,3.777398,6.526892,3.17E-02,5.526455,0.1563642,0.03165706
3887,3.759531,6.62386,3.06E-02,5.537928,0.1568568,0.03064094
3889,3.738923,6.873713,3.06E-02,5.602401,0.1596087,0.03060245
3891,3.716187,6.908802,2.92E-02,5.575707,0.1656193,0.02917729
3893,3.696192,6.91333,2.63E-02,5.540228,0.1658296,0.02634295
3895,3.676687,6.892956,2.38E-02,5.518637,0.1708002,0.02376912
3897,3.637896,6.872369,0.0191331,5.519147,0.1815674,0.0191331
3899,3.608255,6.858878,2.22E-02,5.486469,0.1925605,0.02223121
3901,3.59152,6.845163,2.84E-02,5.493229,0.2024923,0.02842157
3903,3.562787,6.832254,3.26E-02,5.414489,0.2262518,0.03255196
3905,3.522094,6.819121,3.61E-02,5.385028,0.2411742,0.03606473
3907,3.513036,6.78891,3.48E-02,5.403848,0.2400678,0.03481377
3909,3.500968,6.76801,3.36E-02,5.444086,0.2391573,0.03356281
3911,3.48586,6.736238,3.23E-02,5.436396,0.238043,0.03231185
3913,3.464761,6.701074,0.0251688,5.495953,0.230903,0.0251688
3915,3.435734,6.60353,2.24E-02,5.49277,0.2237529,0.02236339
3917,3.416502,6.496689,0.0252485,5.565182,0.2167731,0.0252485
3919,3.393102,6.512245,3.01E-02,5.579531,0.2167634,0.03010182
3921,3.357222,6.50598,5.98E-02,5.613313,0.2167409,0.05979609
3923,3.324085,6.489367,6.57E-02,5.613619,0.2149397,0.06569409
3925,3.181987,6.450763,6.56E-02,5.44538,0.2260854,0.06556814
3927,3.071724,6.413935,0.0654997,5.437982,0.2420261,0.0654997
3929,3.011431,6.380986,6.47E-02,5.429327,0.1993113,0.06470166
3931,2.95567,6.276748,6.20E-02,5.405862,0.1927279,0.06201154
3933,2.913396,6.264037,6.08E-02,5.40548,0.191584,0.06078808
3935,2.873765,6.277523,6.10E-02,5.453604,0.1953915,0.06098806
3937,2.833762,6.28648,6.14E-02,5.513638,0.1963321,0.06139309
3939,2.792699,6.29074,6.16E-02,5.530954,0.1927705,0.06164879
3941,2.671301,6.511267,6.12E-02,5.590783,0.1954782,0.06122318
3943,2.593113,6.707893,6.16E-02,5.573465,0.1913896,0.06161663
3945,2.493217,6.745297,7.34E-02,5.707803,0.1886989,0.07342364
3947,2.37277,6.713796,8.22E-02,5.714997,0.1836391,0.08216987
3949,2.308345,6.697186,8.96E-02,5.713867,0.1836447,0.08957767
3951,2.244417,6.681415,8.96E-02,5.712769,0.1710618,0.08963937
3953,2.171033,6.629471,8.94E-02,5.709937,0.1578738,0.08940679
3955,2.109667,6.642519,8.90E-02,5.745008,0.1429938,0.08903296
3957,2.053109,6.717261,8.89E-02,5.80233,0.141179,0.08894164
3959,1.996623,6.736356,8.87E-02,5.863393,0.1634397,0.08870906
3961,1.876202,6.728624,7.24E-02,5.810713,0.1712214,0.07244744
3963,1.694537,6.759222,4.64E-02,5.611335,0.1733234,0.04643741
3965,1.616241,6.966537,3.63E-02,5.602996,0.1800507,0.03630318
3967,1.589841,7.509041,2.45E-02,5.935198,0.1935897,0.02452955
3969,1.561711,7.507964,2.41E-02,5.936866,0.1958975,0.02413114
3971,1.534785,7.489938,2.38E-02,5.936189,0.2139275,0.02376261
3973,1.508859,7.468074,2.33E-02,6.027723,0.20231,0.02333269
3975,1.459043,7.445438,2.29E-02,5.758065,0.1676874,0.02290753
3977,1.419592,7.422195,2.25E-02,5.795433,0.1394655,0.02252667
3979,1.387062,7.396765,2.21E-02,5.840334,0.1374886,0.02214613
3981,1.361798,7.373657,2.19E-02,5.859145,0.1364752,0.02187286
3983,1.336938,7.351025,0.0216664,5.858171,0.1344342,0.0216664
3985,1.313141,7.328326,2.14E-02,5.85046,0.1323942,0.02141979
3987,1.291429,7.274978,2.12E-02,5.832501,0.1298752,0.02117331
3989,1.271802,7.190981,2.09E-02,5.804294,0.1268774,0.02092696
3991,1.26357,7.156251,2.09E-02,5.791301,0.1241201,0.02093218
3993,1.255439,7.136273,2.06E-02,5.77904,0.12369,0.02056384
3995,1.247407,7.139651,1.98E-02,5.767509,0.1238288,0.01982194
3997,1.239707,7.14303,1.95E-02,5.74298,0.1216413,0.01946392
3999,1.232006,7.146409,0.0191059,5.724183,0.1212013,0.0191059
4001,1.224267,7.083475,1.87E-02,5.725234,0.1207612,0.01874788
4003,1.194456,6.965847,0.0182354,5.682057,0.1193774,0.0182354
4005,1.171554,6.885271,1.74E-02,5.656338,0.1174638,0.01740543
4007,1.156136,6.825937,1.68E-02,5.641157,0.1159641,0.01677569
4009,1.140731,6.750349,0.0164728,5.560472,0.1151226,0.0164728
4011,1.125338,6.68975,1.59E-02,5.512188,0.1133025,0.01586193
4013,1.107456,6.607492,1.53E-02,5.448148,0.1082061,0.01528289
4015,1.080929,6.517868,1.47E-02,5.430405,0.1014201,0.01472742
4017,1.045755,6.457345,1.42E-02,5.425842,0.1011628,0.01419552
4019,0.982614,6.321621,1.84E-02,5.552855,0.1187113,0.01844114
4021,0.9559184,6.273601,0.026704,5.52247,0.1206712,0.026704
4023,0.9320561,6.2292,3.52E-02,5.582999,0.1032911,0.03519627
4025,0.9230646,6.516031,6.26E-02,5.57121,9.44E-02,0.06260721
4027,0.9144095,6.798059,6.20E-02,5.57636,0.1045793,0.06195265
4029,0.9046978,6.773609,6.13E-02,5.626338,0.1037633,0.06129631
4031,0.8947213,6.738684,5.57E-02,5.620729,0.1016915,0.05574406
4033,0.8848144,6.704684,4.31E-02,5.587437,9.54E-02,0.04314446
4035,0.8748028,6.724074,4.51E-02,5.5625,9.18E-02,0.04513968
4037,0.553854,6.729322,0.0291614,5.61809,0.0923651,0.0291614
4039,0.5286696,6.730584,3.03E-02,5.6663,0.1000501,0.03032032
4041,0.5097929,6.725168,3.27E-02,5.687768,0.104031,0.03268457
4043,0.4944544,6.726333,3.08E-02,5.69045,0.1098268,0.03080339
4045,0.4775234,6.716121,3.12E-02,5.606808,0.1247218,0.03120987
4047,0.4608891,6.711509,3.60E-02,5.600821,0.1556095,0.03596914
4049,0.4442579,6.70618,3.85E-02,5.64501,0.1604953,0.03850156
4051,0.427996,6.701109,4.14E-02,5.6525,0.1628033,0.04141386
4053,0.4117108,6.696135,4.37E-02,5.657117,0.1646219,0.04373897
4055,0.3446917,6.690041,4.61E-02,5.661744,0.1664405,0.04608807
4057,0.2482235,6.663308,0.0472275,5.708403,0.1700022,0.0472275
4059,0.1997002,6.637123,0.0465429,5.74239,0.1736997,0.0465429
4061,0.1939528,6.629335,0.045699,5.739058,0.1788664,0.045699
4063,0.2015602,6.619274,4.58E-02,5.782097,0.1828882,0.04579737
4065,0.2098018,6.608915,4.58E-02,5.790274,0.1869066,0.04577942
4067,0.2063274,6.59806,4.47E-02,5.773448,0.1906354,0.04470792
4069,0.2031745,6.553576,4.46E-02,5.760906,0.1893021,0.04459789
4071,0.2020783,6.512426,4.45E-02,5.713681,0.2124312,0.04448786
4073,0.2009006,6.504208,4.45E-02,5.711852,0.2274299,0.04445001
4075,0.1997229,6.512109,4.44E-02,5.70901,0.2303422,0.04441217
4077,0.1985451,6.52001,4.44E-02,5.706167,0.2332545,0.04437432
4079,0.1973674,6.527911,4.43E-02,5.703325,0.2361668,0.04433648
4081,0.1961897,6.535812,4.43E-02,5.700483,0.2390791,0.04429864
4083,0.195012,6.543713,4.43E-02,5.697641,0.2419914,0.04426079
4085,0.176651,6.442016,4.42E-02,5.666279,0.2333872,0.04422295
4087,0.1685531,6.425601,4.38E-02,5.537972,0.219014,0.04382216
4089,0.1639477,6.403681,4.26E-02,5.367122,0.2012167,0.04263307
4091,0.1640968,6.2921,4.20E-02,5.361835,0.1857377,0.04196676
4093,0.1641319,6.290804,0.0415605,5.368006,0.1724126,0.0415605
4095,0.1641401,6.289517,4.13E-02,5.338946,0.1611803,0.04134374
4097,0.1645223,6.288151,4.11E-02,5.343466,0.1619926,0.04112697
4099,0.1651345,6.302799,0.04086,5.346696,0.1628161,0.04086
4101,0.1659768,6.332321,3.99E-02,5.346374,0.1673218,0.03990583
4103,0.1648713,6.362632,0.0384898,5.316728,0.1754948,0.0384898
4105,0.1658434,6.388941,0.0379347,5.288311,0.1756035,0.0379347
4107,0.1675915,6.393973,3.74E-02,5.31672,0.1617064,0.03741806
4109,0.1692962,6.387805,3.48E-02,5.245509,0.1385831,0.03484789
4111,0.1735571,6.381069,3.22E-02,5.13157,0.1364988,0.03215998
4113,0.1802092,6.37215,2.95E-02,5.321566,0.1345959,0.02945854
4115,0.1892252,6.36317,0.0292474,5.398234,0.131168,0.0292474
4117,0.2035538,6.206798,2.81E-02,5.428929,0.1274302,0.02807063
4119,0.2133915,6.178249,2.71E-02,5.414529,0.1253778,0.02708043
4121,0.2231394,6.151489,2.70E-02,5.412205,0.1253071,0.02697842
4123,0.2296748,6.095517,2.68E-02,5.413639,0.1294525,0.02675668
4125,0.2363131,6.041513,2.66E-02,5.077945,0.1314435,0.02663133
4127,0.2428315,6.039201,2.65E-02,5.042583,0.1383142,0.02650598
4129,0.2505396,6.062524,2.63E-02,5.084498,0.1395599,0.02627571
4131,0.2663445,6.036858,0.0269845,5.096052,0.1440602,0.0269845
4133,0.2726766,6.004395,2.95E-02,5.127857,0.1449418,0.02949085
4135,0.2805076,5.956033,3.21E-02,5.121527,0.1502727,0.03205335
4137,0.2908321,5.948545,0.0347405,5.12457,0.1527195,0.0347405
4139,0.2994588,5.889361,0.0376071,5.116578,0.1510945,0.0376071
4141,0.3073284,5.836477,3.81E-02,5.014778,0.1555648,0.03813586
4143,0.3159669,5.727725,0.0387474,4.957652,0.1589054,0.0387474
4145,0.3267498,5.642606,0.0394423,4.789431,0.1485144,0.0394423
4147,0.3376664,5.573328,4.02E-02,4.877856,0.1489926,0.04015827
4149,0.3540139,5.531528,4.09E-02,4.959707,0.1499473,0.04087953
4151,0.3752947,5.520303,3.99E-02,5.034391,0.1497673,0.03989948
4153,0.4164075,5.490435,4.04E-02,4.937161,0.1390283,0.04037719
4155,0.4259478,5.504437,4.09E-02,4.93756,0.1572887,0.04092206
4157,0.4354592,5.467068,4.00E-02,4.967053,0.1607691,0.03995267
4159,0.4449,5.35181,3.90E-02,5.004647,0.1585984,0.03898636
4161,0.4873195,5.397876,3.90E-02,4.933347,0.1575971,0.03901348
4163,0.5557129,5.496346,3.85E-02,4.936212,0.1580439,0.03854586
4165,0.584927,5.483719,3.80E-02,4.835423,0.1451629,0.03799143
4167,0.6001381,5.500211,3.72E-02,4.763893,0.1324055,0.03718681
4169,0.6151983,5.470831,3.71E-02,4.735513,0.1332601,0.03705268
4171,0.6589972,5.492958,0.0369788,4.698009,0.1329361,0.0369788
4173,0.7036576,5.563709,3.68E-02,4.690292,0.1325713,0.03678495
4175,0.7303582,5.56192,3.66E-02,4.681233,0.1424829,0.03661768
4177,0.738136,5.484856,3.69E-02,4.662965,0.1537093,0.03689048
4179,0.7458388,5.523121,3.79E-02,4.670872,0.1542042,0.03787317
4181,0.7536228,5.535182,3.98E-02,4.666069,0.15244,0.03975368
4183,0.7615018,5.550212,4.04E-02,4.665483,0.1525459,0.04041648
4185,0.776763,5.588603,4.14E-02,4.681156,0.1526277,0.04138447
4187,0.7994062,5.626594,4.27E-02,4.690139,0.1526034,0.04265564
4189,0.8098059,5.642018,4.71E-02,4.671105,0.1525864,0.04713991
4191,0.8202057,5.657442,5.16E-02,4.652071,0.1525693,0.05162417
4193,0.8306054,5.672866,5.31E-02,4.657631,0.1522437,0.05305362
4195,0.8410052,5.689736,5.32E-02,4.717422,0.1516958,0.05315707
4197,0.9068435,5.695056,5.42E-02,4.777139,0.1514187,0.05419707
4199,1.010413,5.705081,5.51E-02,4.822063,0.1520002,0.05513629
4201,1.051477,5.70959,0.0551286,4.867537,0.1530232,0.0551286
4203,1.09254,5.714082,5.50E-02,4.864572,0.1531714,0.05496573
4205,1.184976,5.718617,5.65E-02,4.899099,0.1588756,0.05649659
4207,1.202953,5.720007,5.65E-02,4.908894,0.1768246,0.05649702
4209,1.22093,5.721398,5.65E-02,4.918282,0.1947735,0.05649745
4211,1.238907,5.722788,5.65E-02,4.927264,0.2127224,0.05649788
4213,1.245522,5.71948,5.65E-02,4.947744,0.2395559,0.05651708
4215,1.252345,5.716377,5.79E-02,5.058163,0.2361492,0.05791008
4217,1.259377,5.713284,6.36E-02,5.062316,0.2468134,0.06359639
4219,1.266251,5.730772,6.43E-02,5.043531,0.2188778,0.06427322
4221,1.272987,5.769913,6.49E-02,5.035869,0.1974126,0.06493254
4223,1.27946,5.927244,6.39E-02,4.990275,0.1720266,0.06385308
4225,1.284871,6.0558,6.10E-02,4.961054,0.1665716,0.06102865
4227,1.290272,6.054513,5.62E-02,4.943442,0.1665511,0.05621861
4229,1.29673,6.06677,5.61E-02,4.960681,0.1702099,0.05609781
4231,1.303187,6.062732,5.60E-02,4.962994,0.1748615,0.05597702
4233,1.309645,6.063924,5.59E-02,5.012774,0.176938,0.05585623
4235,1.315644,6.043421,5.57E-02,4.962206,0.17903,0.05573498
4237,1.331767,6.043729,5.57E-02,5.038761,0.1831374,0.05567036
4239,1.347631,6.044376,0.0534757,5.036116,0.1665806,0.0534757
4241,1.417063,6.046832,4.64E-02,5.072843,0.166085,0.04644946
4243,1.458985,6.011892,0.0464456,5.048306,0.1648394,0.0464456
4245,1.503449,5.950737,4.47E-02,5.077864,0.1719939,0.04471081
4247,1.538657,5.906601,4.13E-02,5.102143,0.1652062,0.04128438
4249,1.574342,5.92292,3.50E-02,5.121345,0.1603643,0.03501014
4251,1.657914,5.942885,3.33E-02,5.221575,0.1557567,0.03334802
4253,1.789373,5.988417,3.17E-02,5.240085,0.1526818,0.03170146
4255,1.891413,6.055225,3.00E-02,5.230124,0.1495049,0.03004608
4257,1.954007,6.151893,1.99E-02,5.207031,0.147786,0.01991351
4259,1.977485,6.271188,1.63E-02,5.179735,0.1492905,0.01634165
4261,2.000724,6.385961,1.63E-02,5.106503,0.1605707,0.01633837
4263,2.010707,6.524142,1.64E-02,5.072043,0.1529682,0.01638121
4265,2.020173,6.648875,1.65E-02,5.128303,0.1492182,0.01647152
4267,2.129767,6.781706,1.65E-02,5.140806,0.1495766,0.01651018
4269,2.174798,6.855159,1.81E-02,5.147449,0.1531046,0.01810503
4271,2.202242,6.86117,2.10E-02,5.135379,0.156719,0.02101914
4273,2.209179,6.81852,2.20E-02,5.118286,0.157285,0.02196956
4275,2.216116,6.827731,2.20E-02,5.167135,0.157976,0.02196498
4277,2.223053,6.836942,2.20E-02,5.215985,0.158667,0.02196041
4279,2.229991,6.847381,2.25E-02,5.253029,0.159358,0.02252835
4281,2.238684,6.855077,2.35E-02,5.252892,0.1614611,0.02352382
4283,2.249133,6.858396,2.46E-02,5.247761,0.1649655,0.02459305
4285,2.259582,6.862109,2.52E-02,5.243669,0.201319,0.02517044
4287,2.263178,6.864402,2.61E-02,5.238513,0.2090608,0.02613456
4289,2.266774,6.86649,2.62E-02,5.233346,0.2172554,0.02619007
4291,2.27037,6.868091,2.62E-02,5.228178,0.2180441,0.02619856
4293,2.273965,6.870885,2.62E-02,5.273195,0.2188328,0.02620706
4295,2.277561,6.872033,0.0262433,5.379272,0.2202523,0.0262433
4297,2.290809,6.875967,2.63E-02,5.406747,0.2526957,0.02628166
4299,2.300643,6.874057,2.62E-02,5.436891,0.2576679,0.02622704
4301,2.307063,6.865454,2.60E-02,5.428179,0.2558545,0.02598695
4303,2.313483,6.853193,2.61E-02,5.44522,0.2510216,0.02607644
4305,2.320671,6.84202,2.52E-02,5.411579,0.234435,0.02520356
4307,2.32989,6.943563,2.74E-02,5.385235,0.2429666,0.02742817
4309,2.334044,7.014023,2.74E-02,5.415061,0.2410577,0.02742662
4311,2.333633,7.073953,2.74E-02,5.443418,0.2377364,0.02742516
4313,2.330905,7.134036,2.74E-02,5.480511,0.2332481,0.02742369
4315,2.325358,7.194255,2.74E-02,5.488332,0.2271372,0.02742222
4317,2.31452,7.271885,2.98E-02,5.499104,0.2273089,0.02978913
4319,2.308419,7.367275,3.45E-02,5.500092,0.2315785,0.03452532
4321,2.305036,7.46369,3.97E-02,5.52107,0.238948,0.03968598
4323,2.304521,7.5356,4.54E-02,5.54466,0.2472737,0.04535653
4325,2.303558,7.592388,0.0515385,5.529248,0.2564994,0.0515385
4327,2.303005,7.600006,5.81E-02,5.519615,0.2643473,0.05812963
4329,2.301653,7.528071,6.31E-02,5.520041,0.2633956,0.06310458
4331,2.291607,7.457197,6.65E-02,5.526893,0.2701464,0.06646305
4333,2.294721,7.369714,6.98E-02,5.540932,0.2790261,0.06981952
4335,2.294986,7.245591,7.50E-02,5.551802,0.2883372,0.07504397
4337,2.292403,7.055949,8.21E-02,5.562624,0.2911071,0.08209407
4339,2.292513,6.881388,9.01E-02,5.568363,0.2960262,0.09011779
4341,2.288871,6.757122,9.82E-02,5.578582,0.3036703,0.09823067
4343,2.280559,6.588579,0.1064002,5.587736,0.3136981,0.1064002
4345,2.271033,6.443255,0.1127951,5.592436,0.2931185,0.1127951
4347,2.261444,6.354506,0.1191623,5.597136,0.2694959,0.1191623
4349,2.246423,6.323173,0.1210713,5.618111,0.2754619,0.1210713
4351,2.229085,6.271604,0.1258202,5.718039,0.3276303,0.1258202
4353,2.193669,6.261586,0.1243765,5.776065,0.3549168,0.1243765
4355,2.190633,6.221489,0.1239551,5.83635,0.3493828,0.1239551
4357,2.193264,6.265792,0.1333474,5.847564,0.342339,0.1333474
4359,2.189454,6.335946,9.71E-02,5.888971,0.335371,0.09706765
4361,2.152935,6.558229,7.08E-02,5.822593,0.3534591,0.07075489
4363,2.092492,6.735227,6.46E-02,5.893462,0.3704813,0.06455945
4365,2.072745,6.862349,6.29E-02,5.883383,0.3829013,0.06288193
4367,2.067338,6.978075,6.14E-02,5.783375,0.3849659,0.06140473
4369,2.059361,7.040412,6.01E-02,5.731542,0.3823039,0.06008767
4371,2.022675,7.031087,5.90E-02,5.725319,0.3504793,0.05899862
4373,1.98479,7.012692,5.79E-02,5.74021,0.2876209,0.05794745
4375,1.990408,7.007205,5.76E-02,5.754727,0.3076415,0.05764352
4377,2.040481,7.011743,5.76E-02,5.770936,0.3488846,0.05760653
4379,2.103613,7.053668,5.76E-02,5.791019,0.3256478,0.05756954
4381,2.101317,7.06955,5.75E-02,5.813342,0.3218698,0.05753256
4383,2.09907,6.781925,5.75E-02,5.828496,0.3260005,0.05749557
4385,2.089324,6.734515,5.75E-02,5.814874,0.3251093,0.05747193
4387,2.072134,6.716797,5.75E-02,5.890578,0.3244909,0.05746165
4389,2.067125,6.756145,5.75E-02,5.964576,0.3234725,0.05745137
4391,2.062117,6.77636,5.74E-02,5.889814,0.3217546,0.05744109
4393,2.057369,6.796659,5.74E-02,5.931277,0.320198,0.05743081
4395,2.052881,6.805804,5.74E-02,5.985228,0.3187678,0.05742053
4397,1.993215,6.825953,4.02E-02,6.011976,0.3148862,0.04018517
4399,1.895811,6.95594,3.98E-02,5.999698,0.3126298,0.03975001
4401,1.860904,7.001115,4.07E-02,5.957375,0.3089643,0.04074582
4403,1.843888,6.969914,4.13E-02,5.954684,0.2933534,0.04132658
4405,1.775498,6.879422,4.18E-02,5.939401,0.2600794,0.04177365
4407,1.781568,6.90179,4.19E-02,5.935402,0.2504,0.04190297
4409,1.783551,6.910397,4.20E-02,5.920451,0.2510512,0.04203229
4411,1.785509,6.91919,4.21E-02,5.849697,0.2474905,0.04205932
4413,1.799233,6.873265,4.19E-02,5.842161,0.247998,0.04186412
4415,1.812338,6.784946,4.24E-02,5.764441,0.2482742,0.04237595
4417,1.822108,6.718286,4.21E-02,5.782429,0.2485505,0.04211994
4419,1.828686,6.633428,4.27E-02,5.641766,0.2465747,0.04267794
4421,1.835238,6.49717,4.32E-02,5.59279,0.2429674,0.04323594
4423,1.841986,6.401519,4.40E-02,5.581679,0.2434711,0.04398967
4425,1.848735,6.301711,4.52E-02,5.467548,0.2457106,0.04517343
4427,1.855562,6.400402,5.18E-02,5.461702,0.2433652,0.05183301
4429,1.862441,6.468874,5.60E-02,5.502457,0.2469688,0.05595299
4431,1.869373,6.50758,5.90E-02,5.5268,0.2469504,0.05898801
4433,1.907582,6.537673,6.28E-02,5.490434,0.2445115,0.06276255
4435,1.977068,6.542032,6.73E-02,5.47163,0.2394695,0.06727661
4437,2.024724,6.552141,6.73E-02,5.391006,0.2407927,0.06732398
4439,2.048121,6.571867,6.74E-02,5.28858,0.2159484,0.06742398
4441,1.994242,6.593761,6.53E-02,5.247618,0.215437,0.06532591
4443,1.967167,6.608167,6.15E-02,5.230812,0.2149273,0.06147431
4445,1.938571,6.486886,5.37E-02,5.238775,0.2144177,0.05373282
4447,1.919291,6.261286,5.31E-02,5.297807,0.2113192,0.05312723
4449,1.897561,6.203534,5.26E-02,5.11153,0.2104126,0.05255783
4451,1.827968,6.152474,0.051976,5.160614,0.2095061,0.051976
4453,1.725623,6.104492,5.14E-02,5.208194,0.2100243,0.05138173
4455,1.63055,6.070833,5.11E-02,5.250911,0.2148394,0.05112911
4457,1.574523,6.089152,5.15E-02,5.295135,0.2178903,0.05149949
4459,1.557488,6.088499,1.95E-02,5.302711,0.206558,0.01946545
4461,1.540748,6.054555,1.10E-02,5.29582,0.2046985,0.01096797
4463,1.526008,6.013649,6.71E-03,5.308055,0.1893759,0.00670558
4465,1.513268,5.958762,0.0066783,5.2458,0.1838665,0.0066783
4467,1.413338,5.892045,4.86E-03,4.992051,0.181107,0.004857628
4469,1.380367,5.885462,4.24E-03,4.975645,0.1859245,0.004242262
4471,1.36677,5.884863,4.48E-03,5.072489,0.1919753,0.004479837
4473,1.373497,5.891521,4.72E-03,5.103284,0.1953596,0.004719418
4475,1.375551,5.918313,4.85E-03,5.130155,0.1926319,0.004852374
4477,1.372933,5.965239,4.88E-03,5.172546,0.1904768,0.004878704
4479,1.37253,6.103968,5.38E-03,5.240891,0.1900036,0.005379004
4481,1.368915,6.161831,5.61E-03,5.223041,0.1846662,0.005609901
4483,1.362586,6.202388,5.73E-03,5.166878,0.1822027,0.00572865
4485,1.355663,6.208962,0.0058474,5.090675,0.1747548,0.0058474
4487,1.355494,6.21462,5.97E-03,5.030483,0.1745517,0.005966149
4489,1.353568,6.210858,5.99E-03,5.129861,0.1747395,0.005992479
4491,1.352195,6.208448,6.08E-03,5.18837,0.1557517,0.006083345
4493,1.350605,6.204787,6.24E-03,5.208108,0.1529127,0.006238744
4495,1.348246,6.202145,6.39E-03,5.252292,0.1522744,0.006394144
4497,1.336234,6.192252,6.55E-03,5.294378,0.1509804,0.006551405
4499,1.327334,6.18212,6.71E-03,5.352539,0.1496863,0.006708666
4501,1.322321,6.178884,7.13E-03,5.368277,0.1483922,0.007125073
4503,1.31803,6.167099,7.37E-03,5.369346,0.1470982,0.007369587
4505,1.314884,6.143586,9.31E-03,5.375826,0.1458041,0.009310193
4507,1.308023,6.540786,1.01E-02,5.375583,0.14451,0.01007326
4509,1.305079,6.714644,1.10E-02,5.372045,0.1436129,0.01095707
4511,1.304089,6.637625,1.18E-02,5.3786,0.1427157,0.01184088
4513,1.303075,6.642964,1.27E-02,5.37965,0.1515837,0.01272469
4515,1.302042,6.647164,1.36E-02,5.3807,0.188677,0.01360851
4517,1.30099,6.643979,9.84E-03,5.379972,0.1793044,0.00983945
4519,1.300492,6.651053,9.83E-03,5.272529,0.177537,0.009829879
4521,1.298036,6.659501,1.01E-02,5.218344,0.1765996,0.01010891
4523,1.297621,6.672467,1.15E-02,5.316361,0.1779247,0.01147712
4525,1.299248,6.690133,1.35E-02,5.352246,0.1815123,0.01352958
4527,1.295912,6.695837,1.34E-02,5.361248,0.1843494,0.01340936
4529,1.291912,6.687601,1.33E-02,5.426079,0.1933745,0.01328858
4531,1.288805,6.681232,1.32E-02,5.440134,0.2044399,0.01316723
4533,1.280931,6.656647,1.27E-02,5.450995,0.2003092,0.01268138
4535,1.273844,6.651892,1.23E-02,5.471879,0.1992081,0.01229335
4537,1.268825,6.667924,1.20E-02,5.503024,0.2004013,0.01200312
4539,1.263983,6.695013,1.17E-02,5.336112,0.257017,0.01170799
4541,1.261373,6.704584,1.14E-02,5.381852,0.2616657,0.01143354
4543,1.261971,6.640713,1.12E-02,5.347126,0.2588936,0.01117705
4545,1.261781,6.644813,1.11E-02,5.37858,0.2705626,0.01106622
4547,1.261591,6.648912,1.10E-02,5.420303,0.2706701,0.01095539
4549,1.261401,6.661271,1.08E-02,5.481892,0.2728217,0.01084389
4551,1.258098,6.659283,1.04E-02,5.48564,0.2556775,0.01042168
4553,1.253579,6.648407,1.01E-02,5.35904,0.2462767,0.01009743
4555,1.248321,6.408519,9.90E-03,5.166195,0.2355323,0.009901274
4557,1.237395,6.202585,9.41E-03,5.173275,0.2246536,0.009414073
4559,1.233415,6.152325,9.27E-03,5.18489,0.2148894,0.009265007
4561,1.229574,6.038229,9.29E-03,5.266805,0.1994927,0.009290528
4563,1.222742,5.944245,9.71E-03,5.234367,0.1867443,0.009707792
4565,1.21399,5.912868,1.01E-02,5.321125,0.1806598,0.01008363
4567,1.20539,5.902656,1.05E-02,5.335864,0.180114,0.01046014
4569,1.199444,5.938123,0.0106477,5.364258,0.1647676,0.0106477
4571,1.193555,5.94675,1.09E-02,5.353821,0.1543104,0.01087579
4573,1.188112,5.947471,1.11E-02,5.363491,0.1501803,0.01110331
4575,1.157137,5.942089,0.0113309,5.295006,0.1458545,0.0113309
4577,1.100608,5.923019,1.14E-02,5.215777,0.1416122,0.01139646
4579,1.03102,5.892065,1.13E-02,5.196313,0.13761,0.01127256
4581,1.026861,5.929517,1.15E-02,5.119503,0.1353083,0.01146944
4583,1.022746,5.982245,0.0116661,5.277331,0.1276178,0.0116661
4585,1.018687,6.096716,1.53E-02,5.252376,0.1197129,0.01527635
4587,1.02933,6.320102,1.53E-02,5.224185,0.1118072,0.01529928
4589,1.040026,6.673419,1.51E-02,5.239896,0.1091347,0.01514389
4591,1.050707,6.705105,0.0148102,5.247385,0.1090847,0.0148102
4593,1.060453,6.731277,1.43E-02,5.24705,0.1082405,0.01428957
4595,1.069951,6.793859,1.36E-02,5.302663,0.1066019,0.01358198
4597,1.079184,6.853112,1.34E-02,5.382585,0.1069353,0.01341712
4599,1.088432,6.783216,0.0137281,5.452966,0.1122658,0.0137281
4601,1.094982,6.679117,1.40E-02,5.405804,0.1127012,0.01403952
4603,1.080952,6.742551,1.44E-02,5.33522,0.1143621,0.01439322
4605,1.066705,6.755867,1.42E-02,5.386014,0.1089851,0.01418667
4607,1.052458,6.705657,1.44E-02,5.367489,0.1058381,0.01437914
4609,1.042299,6.611943,1.44E-02,5.335914,9.69E-02,0.01437914
